"","Latitude","Longitude","County","Hour","Season","Pollutant","Sample"
"204",32.631231,-117.059075,"San Diego","01",4,"Ozone",0.22984126984127
"205",32.631231,-117.059075,"San Diego","02",1,"NO2",0.11
"206",32.631231,-117.059075,"San Diego","02",1,"Ozone",0.195238095238095
"207",32.631231,-117.059075,"San Diego","02",3,"NO2",0.0578571428571429
"208",32.631231,-117.059075,"San Diego","02",3,"Ozone",0.295238095238095
"209",32.631231,-117.059075,"San Diego","03",1,"NO2",0.109574468085106
"210",32.631231,-117.059075,"San Diego","03",1,"Ozone",0.256838905775076
"211",32.631231,-117.059075,"San Diego","03",2,"NO2",0.0719565217391304
"212",32.631231,-117.059075,"San Diego","03",2,"Ozone",0.336335403726708
"213",32.631231,-117.059075,"San Diego","03",3,"NO2",0.0614814814814815
"214",32.631231,-117.059075,"San Diego","03",3,"Ozone",0.29973544973545
"215",32.631231,-117.059075,"San Diego","03",4,"NO2",0.116739130434783
"216",32.631231,-117.059075,"San Diego","03",4,"Ozone",0.233540372670807
"217",32.631231,-117.059075,"San Diego","04",1,"NO2",0.11989010989011
"218",32.631231,-117.059075,"San Diego","04",1,"Ozone",0.230141287284144
"219",32.631231,-117.059075,"San Diego","04",2,"NO2",0.0774725274725275
"220",32.631231,-117.059075,"San Diego","04",2,"Ozone",0.334065934065934
"221",32.631231,-117.059075,"San Diego","04",3,"NO2",0.0683695652173913
"222",32.631231,-117.059075,"San Diego","04",3,"Ozone",0.301863354037267
"223",32.631231,-117.059075,"San Diego","04",4,"NO2",0.124347826086957
"224",32.631231,-117.059075,"San Diego","04",4,"Ozone",0.218012422360248
"225",32.631231,-117.059075,"San Diego","05",1,"NO2",0.145164835164835
"226",32.631231,-117.059075,"San Diego","05",1,"Ozone",0.199686028257457
"227",32.631231,-117.059075,"San Diego","05",2,"NO2",0.0940659340659341
"228",32.631231,-117.059075,"San Diego","05",2,"Ozone",0.314128728414443
"229",32.631231,-117.059075,"San Diego","05",3,"NO2",0.0826086956521739
"230",32.631231,-117.059075,"San Diego","05",3,"Ozone",0.284627329192547
"231",32.631231,-117.059075,"San Diego","05",4,"NO2",0.149239130434783
"232",32.631231,-117.059075,"San Diego","05",4,"Ozone",0.18804347826087
"233",32.631231,-117.059075,"San Diego","06",1,"NO2",0.181868131868132
"234",32.631231,-117.059075,"San Diego","06",1,"Ozone",0.154317111459969
"235",32.631231,-117.059075,"San Diego","06",2,"NO2",0.0938202247191011
"236",32.631231,-117.059075,"San Diego","06",2,"Ozone",0.344920634920635
"237",32.631231,-117.059075,"San Diego","06",3,"NO2",0.0818478260869565
"238",32.631231,-117.059075,"San Diego","06",3,"Ozone",0.300621118012422
"239",32.631231,-117.059075,"San Diego","06",4,"NO2",0.17804347826087
"240",32.631231,-117.059075,"San Diego","06",4,"Ozone",0.159006211180124
"241",32.631231,-117.059075,"San Diego","07",1,"NO2",0.175274725274725
"242",32.631231,-117.059075,"San Diego","07",1,"Ozone",0.187598116169545
"243",32.631231,-117.059075,"San Diego","07",2,"NO2",0.0806818181818182
"244",32.631231,-117.059075,"San Diego","07",2,"Ozone",0.401926163723916
"245",32.631231,-117.059075,"San Diego","07",3,"NO2",0.0733333333333333
"246",32.631231,-117.059075,"San Diego","07",3,"Ozone",0.347936507936508
"247",32.631231,-117.059075,"San Diego","07",4,"NO2",0.175164835164835
"248",32.631231,-117.059075,"San Diego","07",4,"Ozone",0.195962732919255
"249",32.631231,-117.059075,"San Diego","08",1,"NO2",0.149010989010989
"250",32.631231,-117.059075,"San Diego","08",1,"Ozone",0.266718995290424
"251",32.631231,-117.059075,"San Diego","08",2,"NO2",0.07575
"252",32.631231,-117.059075,"San Diego","08",2,"Ozone",0.461904761904762
"253",32.631231,-117.059075,"San Diego","08",3,"NO2",0.068953488372093
"254",32.631231,-117.059075,"San Diego","08",3,"Ozone",0.424252491694352
"255",32.631231,-117.059075,"San Diego","08",4,"NO2",0.151011235955056
"256",32.631231,-117.059075,"San Diego","08",4,"Ozone",0.286490683229814
"257",32.631231,-117.059075,"San Diego","09",1,"NO2",0.12625
"258",32.631231,-117.059075,"San Diego","09",1,"Ozone",0.365746753246753
"259",32.631231,-117.059075,"San Diego","09",2,"NO2",0.0578481012658228
"260",32.631231,-117.059075,"San Diego","09",2,"Ozone",0.522521008403361
"261",32.631231,-117.059075,"San Diego","09",3,"NO2",0.0573809523809524
"262",32.631231,-117.059075,"San Diego","09",3,"Ozone",0.507482993197279
"263",32.631231,-117.059075,"San Diego","09",4,"NO2",0.12546511627907
"264",32.631231,-117.059075,"San Diego","09",4,"Ozone",0.396428571428571
"265",32.631231,-117.059075,"San Diego","10",1,"NO2",0.103571428571429
"266",32.631231,-117.059075,"San Diego","10",1,"Ozone",0.465882352941176
"267",32.631231,-117.059075,"San Diego","10",2,"NO2",0.0417721518987342
"268",32.631231,-117.059075,"San Diego","10",2,"Ozone",0.573421926910299
"269",32.631231,-117.059075,"San Diego","10",3,"NO2",0.0386516853932584
"270",32.631231,-117.059075,"San Diego","10",3,"Ozone",0.57784911717496
"271",32.631231,-117.059075,"San Diego","10",4,"NO2",0.0996296296296296
"272",32.631231,-117.059075,"San Diego","10",4,"Ozone",0.485880398671096
"273",32.631231,-117.059075,"San Diego","11",1,"NO2",0.0869411764705882
"274",32.631231,-117.059075,"San Diego","11",1,"Ozone",0.536806722689076
"275",32.631231,-117.059075,"San Diego","11",2,"NO2",0.0268354430379747
"276",32.631231,-117.059075,"San Diego","11",2,"Ozone",0.611627906976744
"277",32.631231,-117.059075,"San Diego","11",3,"NO2",0.0257954545454545
"278",32.631231,-117.059075,"San Diego","11",3,"Ozone",0.604383116883117
"279",32.631231,-117.059075,"San Diego","11",4,"NO2",0.0846987951807229
"280",32.631231,-117.059075,"San Diego","11",4,"Ozone",0.539935064935065
"281",32.631231,-117.059075,"San Diego","12",1,"NO2",0.0703333333333333
"282",32.631231,-117.059075,"San Diego","12",1,"Ozone",0.588571428571429
"283",32.631231,-117.059075,"San Diego","12",2,"NO2",0.021625
"284",32.631231,-117.059075,"San Diego","12",2,"Ozone",0.612605042016807
"285",32.631231,-117.059075,"San Diego","12",3,"NO2",0.0202222222222222
"286",32.631231,-117.059075,"San Diego","12",3,"Ozone",0.604444444444444
"287",32.631231,-117.059075,"San Diego","12",4,"NO2",0.0669411764705882
"288",32.631231,-117.059075,"San Diego","12",4,"Ozone",0.586046511627907
"289",32.631231,-117.059075,"San Diego","13",1,"NO2",0.0591011235955056
"290",32.631231,-117.059075,"San Diego","13",1,"Ozone",0.61107544141252
"291",32.631231,-117.059075,"San Diego","13",2,"NO2",0.0186746987951807
"292",32.631231,-117.059075,"San Diego","13",2,"Ozone",0.603940886699507
"293",32.631231,-117.059075,"San Diego","13",3,"NO2",0.0195652173913043
"294",32.631231,-117.059075,"San Diego","13",3,"Ozone",0.588198757763975
"295",32.631231,-117.059075,"San Diego","13",4,"NO2",0.0555681818181818
