"","Latitude","Longitude","County","Season","Pollutant","Sample"
"492",34.19925,-118.53276,"Los Angeles",3,"Ozone",0.521386922115785
"493",34.19925,-118.53276,"Los Angeles",4,"CO",0.0187307367189024
"494",34.19925,-118.53276,"Los Angeles",4,"NO2",0.154898042785617
"495",34.19925,-118.53276,"Los Angeles",4,"Ozone",0.357786592106119
"496",34.210154,-118.870496,"Ventura",1,"Ozone",0.417898043321772
"497",34.210154,-118.870496,"Ventura",2,"Ozone",0.493245556287031
"498",34.210154,-118.870496,"Ventura",3,"Ozone",0.46347049689441
"499",34.210154,-118.870496,"Ventura",4,"Ozone",0.402220779220779
"500",34.2431,-117.27235,"San Bernardino",1,"Ozone",0.47900684703849
"501",34.2431,-117.27235,"San Bernardino",2,"Ozone",0.731548490552883
"502",34.2431,-117.27235,"San Bernardino",3,"Ozone",0.872283963090187
"503",34.2431,-117.27235,"San Bernardino",4,"Ozone",0.451377991051164
"504",34.252378,-119.143176,"Ventura",1,"NO2",0.061975845410628
"505",34.252378,-119.143176,"Ventura",1,"Ozone",0.374416839199448
"506",34.252378,-119.143176,"Ventura",2,"NO2",0.0408160309029454
"507",34.252378,-119.143176,"Ventura",2,"Ozone",0.443178554332216
"508",34.252378,-119.143176,"Ventura",3,"NO2",0.0409116674539443
"509",34.252378,-119.143176,"Ventura",3,"Ozone",0.402017603249831
"510",34.252378,-119.143176,"Ventura",4,"NO2",0.0720075937351685
"511",34.252378,-119.143176,"Ventura",4,"Ozone",0.355051769642011
"512",34.276362,-118.683757,"Ventura",1,"NO2",0.0915713599231139
"513",34.276362,-118.683757,"Ventura",1,"Ozone",0.419868637110016
"514",34.276362,-118.683757,"Ventura",2,"NO2",0.0636455331412104
"515",34.276362,-118.683757,"Ventura",2,"Ozone",0.531829694024232
"516",34.276362,-118.683757,"Ventura",3,"NO2",0.073323754789272
"517",34.276362,-118.683757,"Ventura",3,"Ozone",0.517762512266928
"518",34.276362,-118.683757,"Ventura",4,"NO2",0.0985328916232844
"519",34.276362,-118.683757,"Ventura",4,"Ozone",0.381417728381675
"520",34.38344,-118.5284,"Los Angeles",1,"CO",0.00655786571279529
"521",34.38344,-118.5284,"Los Angeles",1,"NO2",0.0776744913928012
"522",34.38344,-118.5284,"Los Angeles",1,"Ozone",0.412072434607646
"523",34.38344,-118.5284,"Los Angeles",2,"CO",0.00454021372328459
"524",34.38344,-118.5284,"Los Angeles",2,"NO2",0.0981749209694415
"525",34.38344,-118.5284,"Los Angeles",2,"Ozone",0.57341816647919
"526",34.38344,-118.5284,"Los Angeles",3,"CO",0.00480345158197507
"527",34.38344,-118.5284,"Los Angeles",3,"NO2",0.109273250239693
"528",34.38344,-118.5284,"Los Angeles",3,"Ozone",0.572929085303186
"529",34.38344,-118.5284,"Los Angeles",4,"CO",0.00833511348464619
"530",34.38344,-118.5284,"Los Angeles",4,"NO2",0.118387200736648
"531",34.38344,-118.5284,"Los Angeles",4,"Ozone",0.339692044482464
"532",34.402773,-119.458454,"Santa Barbara",1,"NO2",0.0117542120911794
"533",34.402773,-119.458454,"Santa Barbara",1,"Ozone",0.384104927330734
"534",34.402773,-119.458454,"Santa Barbara",2,"NO2",0.0101987396994668
"535",34.402773,-119.458454,"Santa Barbara",2,"Ozone",0.360944532927083
"536",34.402773,-119.458454,"Santa Barbara",3,"NO2",0.0100669216061185
"537",34.402773,-119.458454,"Santa Barbara",3,"Ozone",0.376044796503687
"538",34.402773,-119.458454,"Santa Barbara",4,"NO2",0.0156304138594803
"539",34.402773,-119.458454,"Santa Barbara",4,"Ozone",0.37131828542019
"540",34.404268,-118.809946,"Ventura",1,"Ozone",0.432789677081286
"541",34.404268,-118.809946,"Ventura",2,"Ozone",0.484762779709955
"542",34.404268,-118.809946,"Ventura",3,"Ozone",0.454384370740572
"543",34.404268,-118.809946,"Ventura",4,"Ozone",0.395320646506778
"544",34.414942,-119.879511,"Santa Barbara",1,"SO2",0.010561506004544
