County,Hour,Pollutant,Sample,Latitude,Longitude
Imperial,7,NO2,0.120489655,32.676186,-115.484144
Imperial,7,Ozone,0.310488959,32.676186,-115.484144
Imperial,7,SO2,0.012481175,32.676186,-115.484144
Imperial,8,CO,0.007882801,32.676186,-115.484144
Imperial,8,NO2,0.092292649,32.676186,-115.484144
Imperial,8,Ozone,0.410685986,32.676186,-115.484144
Imperial,8,SO2,0.012734619,32.676186,-115.484144
Imperial,9,CO,0.00551768,32.676186,-115.484144
Imperial,9,NO2,0.065358832,32.676186,-115.484144
Imperial,9,Ozone,0.500786056,32.676186,-115.484144
Imperial,9,SO2,0.013044444,32.676186,-115.484144
Imperial,10,CO,0.004343757,32.676186,-115.484144
Imperial,10,NO2,0.049619247,32.676186,-115.484144
Imperial,10,Ozone,0.568704212,32.676186,-115.484144
Imperial,10,SO2,0.013177778,32.676186,-115.484144
Imperial,11,CO,0.003814119,32.676186,-115.484144
Imperial,11,NO2,0.040216783,32.676186,-115.484144
Imperial,11,Ozone,0.616672376,32.676186,-115.484144
Imperial,11,SO2,0.012836601,32.676186,-115.484144
Imperial,12,CO,0.003585263,32.676186,-115.484144
Imperial,12,NO2,0.035962396,32.676186,-115.484144
Imperial,12,Ozone,0.641706539,32.676186,-115.484144
Imperial,12,SO2,0.012937037,32.676186,-115.484144
Imperial,13,CO,0.003431762,32.676186,-115.484144
Imperial,13,NO2,0.034778711,32.676186,-115.484144
Imperial,13,Ozone,0.651062857,32.676186,-115.484144
Imperial,13,SO2,0.011996276,32.676186,-115.484144
Imperial,14,CO,0.003409983,32.676186,-115.484144
Imperial,14,NO2,0.034769663,32.676186,-115.484144
Imperial,14,Ozone,0.655263158,32.676186,-115.484144
Imperial,14,SO2,0.010681523,32.676186,-115.484144
Imperial,15,CO,0.003461312,32.676186,-115.484144
Imperial,15,NO2,0.035972106,32.676186,-115.484144
Imperial,15,Ozone,0.650113199,32.676186,-115.484144
Imperial,15,SO2,0.01033795,32.676186,-115.484144
Imperial,16,CO,0.003978501,32.676186,-115.484144
Imperial,16,NO2,0.050365145,32.676186,-115.484144
Imperial,16,Ozone,0.616556143,32.676186,-115.484144
Imperial,16,SO2,0.00917539,32.676186,-115.484144
Imperial,17,CO,0.005715367,32.676186,-115.484144
Imperial,17,NO2,0.094969739,32.676186,-115.484144
Imperial,17,Ozone,0.528133423,32.676186,-115.484144
Imperial,17,SO2,0.008322344,32.676186,-115.484144
Imperial,18,CO,0.00828426,32.676186,-115.484144
Imperial,18,NO2,0.134759285,32.676186,-115.484144
Imperial,18,Ozone,0.425898473,32.676186,-115.484144
Imperial,18,SO2,0.00813516,32.676186,-115.484144
Imperial,19,CO,0.009975076,32.676186,-115.484144
Imperial,19,NO2,0.149422497,32.676186,-115.484144
Imperial,19,Ozone,0.363662889,32.676186,-115.484144
Imperial,19,SO2,0.009446575,32.676186,-115.484144
Imperial,20,CO,0.010425287,32.676186,-115.484144
Imperial,20,NO2,0.140453297,32.676186,-115.484144
Imperial,20,Ozone,0.34375491,32.676186,-115.484144
Imperial,20,SO2,0.00985348,32.676186,-115.484144
Imperial,21,CO,0.010057424,32.676186,-115.484144
Imperial,21,NO2,0.127164835,32.676186,-115.484144
Imperial,21,Ozone,0.337848158,32.676186,-115.484144
Imperial,21,SO2,0.009098901,32.676186,-115.484144
Imperial,22,CO,0.009092542,32.676186,-115.484144
Imperial,22,NO2,0.106034294,32.676186,-115.484144
Imperial,22,Ozone,0.335248569,32.676186,-115.484144
Imperial,22,SO2,0.007810046,32.676186,-115.484144
Imperial,23,CO,0.008149591,32.676186,-115.484144
Imperial,23,NO2,0.086861454,32.676186,-115.484144
Imperial,23,Ozone,0.330963612,32.676186,-115.484144
Imperial,23,SO2,0.006677626,32.676186,-115.484144
Los Angeles,0,CO,0.0118982,34.1365,-117.92391
Los Angeles,0,NO2,0.169113174,34.1365,-117.92391
Los Angeles,0,Ozone,0.252693718,34.1365,-117.92391
Los Angeles,0,SO2,0.005952559,34.06659,-118.22688
Los Angeles,1,CO,0.01096159,34.1365,-117.92391
