"","County","Dayofweek","Pollutant","Sample","Latitude","Longitude"
"183","Kern","Sun","CO",0.00587309377738826,35.331302,-119.000974
"184","Kern","Sun","NO2",0.0768353803059685,35.346094,-118.852037
"185","Kern","Sun","Ozone",0.53036755463343,35.346094,-118.852037
"186","Kern","Mon","CO",0.00588602011409751,35.331302,-119.000974
"187","Kern","Mon","NO2",0.0890694778239021,35.346094,-118.852037
"188","Kern","Mon","Ozone",0.511173731928449,35.346094,-118.852037
"189","Kern","Tues","CO",0.00633307614695234,35.331302,-119.000974
"190","Kern","Tues","NO2",0.105434105172041,35.346094,-118.852037
"191","Kern","Tues","Ozone",0.51361482975732,35.346094,-118.852037
"192","Kern","Wed","CO",0.00614601849090367,35.331302,-119.000974
"193","Kern","Wed","NO2",0.108014973958333,35.346094,-118.852037
"194","Kern","Wed","Ozone",0.509909800097513,35.346094,-118.852037
"195","Kern","Thurs","CO",0.00606916666666667,35.331302,-119.000974
"196","Kern","Thurs","NO2",0.106707811825637,35.346094,-118.852037
"197","Kern","Thurs","Ozone",0.526340804178814,35.346094,-118.852037
"198","Kern","Fri","CO",0.00633762039333295,35.331302,-119.000974
"199","Kern","Fri","NO2",0.105428299894403,35.346094,-118.852037
"200","Kern","Fri","Ozone",0.527529885193514,35.346094,-118.852037
"201","Kern","Sat","CO",0.00638998357963875,35.331302,-119.000974
"202","Kern","Sat","NO2",0.0918875613398763,35.346094,-118.852037
"203","Kern","Sat","Ozone",0.53496627192325,35.346094,-118.852037
"204","Lake","Sun","Ozone",0.389267767408471,39.0327,-122.92229
"205","Lake","Mon","Ozone",0.386396297649495,39.0327,-122.92229
"206","Lake","Tues","Ozone",0.371502335874109,39.0327,-122.92229
"207","Lake","Wed","Ozone",0.38061489072725,39.0327,-122.92229
"208","Lake","Thurs","Ozone",0.382266435986159,39.0327,-122.92229
"209","Lake","Fri","Ozone",0.394046632737602,39.0327,-122.92229
"210","Lake","Sat","Ozone",0.39408583186361,39.0327,-122.92229
"211","Los Angeles","Sun","CO",0.00933330339872893,34.1365,-117.92391
"212","Los Angeles","Sun","NO2",0.112919643938476,34.1365,-117.92391
"213","Los Angeles","Sun","Ozone",0.446404427605676,34.1365,-117.92391
"214","Los Angeles","Sun","SO2",0.00679278768998395,34.06659,-118.22688
"215","Los Angeles","Mon","CO",0.00954348162644053,34.1365,-117.92391
"216","Los Angeles","Mon","NO2",0.147798078092689,34.1365,-117.92391
"217","Los Angeles","Mon","Ozone",0.4124148768989,34.1365,-117.92391
"218","Los Angeles","Mon","SO2",0.00769739952718676,34.06659,-118.22688
"219","Los Angeles","Tues","CO",0.0100969022065614,34.1365,-117.92391
"220","Los Angeles","Tues","NO2",0.168118950729356,34.1365,-117.92391
"221","Los Angeles","Tues","Ozone",0.398290772897514,34.1365,-117.92391
"222","Los Angeles","Tues","SO2",0.00778211009174312,34.06659,-118.22688
"223","Los Angeles","Wed","CO",0.0107346368270853,34.1365,-117.92391
"224","Los Angeles","Wed","NO2",0.175429530614759,34.1365,-117.92391
"225","Los Angeles","Wed","Ozone",0.391758056919868,34.1365,-117.92391
"226","Los Angeles","Wed","SO2",0.00802806612841215,34.06659,-118.22688
"227","Los Angeles","Thurs","CO",0.0108282811400422,34.1365,-117.92391
"228","Los Angeles","Thurs","NO2",0.177468020056255,34.1365,-117.92391
"229","Los Angeles","Thurs","Ozone",0.397621581557992,34.1365,-117.92391
"230","Los Angeles","Thurs","SO2",0.00891181809496513,34.06659,-118.22688
"231","Los Angeles","Fri","CO",0.010639152863105,34.1365,-117.92391
"232","Los Angeles","Fri","NO2",0.165313360177895,34.1365,-117.92391
"233","Los Angeles","Fri","Ozone",0.408270725629486,34.1365,-117.92391
"234","Los Angeles","Fri","SO2",0.00866963292547275,34.06659,-118.22688
"235","Los Angeles","Sat","CO",0.010239122461222,34.1365,-117.92391
"236","Los Angeles","Sat","NO2",0.138115534271176,34.1365,-117.92391
"237","Los Angeles","Sat","Ozone",0.430419615820041,34.1365,-117.92391
"238","Los Angeles","Sat","SO2",0.00743914169441361,34.06659,-118.22688
"239","Madera","Sun","CO",0.00508699633699634,36.867125,-120.010158
"240","Madera","Sun","NO2",0.0414891398783666,36.867125,-120.010158
"241","Madera","Sun","Ozone",0.444705882352941,36.867125,-120.010158
"242","Madera","Mon","CO",0.00512449799196787,36.867125,-120.010158
"243","Madera","Mon","NO2",0.0510728070175439,36.867125,-120.010158
"244","Madera","Mon","Ozone",0.42938016778321,36.867125,-120.010158
"245","Madera","Tues","CO",0.00562833914053426,36.867125,-120.010158
"246","Madera","Tues","NO2",0.0602976618705036,36.867125,-120.010158
"247","Madera","Tues","Ozone",0.412127175450464,36.867125,-120.010158
"248","Madera","Wed","CO",0.0054673721340388,36.867125,-120.010158
"249","Madera","Wed","NO2",0.0619849690539346,36.867125,-120.010158
"250","Madera","Wed","Ozone",0.429630085554256,36.867125,-120.010158
"251","Madera","Thurs","CO",0.00535890797834785,36.867125,-120.010158
"252","Madera","Thurs","NO2",0.0619055459272097,36.867125,-120.010158
"253","Madera","Thurs","Ozone",0.424504692387904,36.867125,-120.010158
"254","Madera","Fri","CO",0.00550954681389464,36.867125,-120.010158
"255","Madera","Fri","NO2",0.060719723183391,36.867125,-120.010158
"256","Madera","Fri","Ozone",0.424820230105465,36.867125,-120.010158
"257","Madera","Sat","CO",0.0051800045861041,36.867125,-120.010158
"258","Madera","Sat","NO2",0.0477980427046263,36.867125,-120.010158
"259","Madera","Sat","Ozone",0.446569746485642,36.867125,-120.010158
"260","Marin","Sun","CO",0.00934065934065934,37.97231,-122.520004
"261","Marin","Sun","NO2",0.066873745819398,37.97231,-122.520004
"262","Marin","Sun","Ozone",0.354276158623985,37.97231,-122.520004
"263","Marin","Mon","CO",0.0100084104289319,37.97231,-122.520004
"264","Marin","Mon","NO2",0.0977949579831933,37.97231,-122.520004
"265","Marin","Mon","Ozone",0.319536224918899,37.97231,-122.520004
"266","Marin","Tues","CO",0.0100641103181323,37.97231,-122.520004
"267","Marin","Tues","NO2",0.104376689189189,37.97231,-122.520004
"268","Marin","Tues","Ozone",0.304064352243861,37.97231,-122.520004
"269","Marin","Wed","CO",0.0102488166039568,37.97231,-122.520004
"270","Marin","Wed","NO2",0.102187129551228,37.97231,-122.520004
"271","Marin","Wed","Ozone",0.296904964194684,37.97231,-122.520004
"272","Marin","Thurs","CO",0.0102991709720053,37.97231,-122.520004
"273","Marin","Thurs","NO2",0.0997073170731707,37.97231,-122.520004
"274","Marin","Thurs","Ozone",0.299855821218311,37.97231,-122.520004
"275","Marin","Fri","CO",0.0100175788116723,37.97231,-122.520004
"276","Marin","Fri","NO2",0.095039376538146,37.97231,-122.520004
"277","Marin","Fri","Ozone",0.323039962498535,37.97231,-122.520004
"278","Marin","Sat","CO",0.00968006562756358,37.97231,-122.520004
"279","Marin","Sat","NO2",0.0756907301066448,37.97231,-122.520004
"280","Marin","Sat","Ozone",0.346888550333997,37.97231,-122.520004
"281","Monterey","Sun","CO",0.00934981684981685,36.69676,-121.637182
"282","Monterey","Sun","NO2",0.0345666666666667,36.69676,-121.637182
"283","Monterey","Sun","Ozone",0.357837301587302,36.495767,-121.731571
"284","Monterey","Mon","CO",0.00920431093785829,36.69676,-121.637182
"285","Monterey","Mon","NO2",0.0443659574468085,36.69676,-121.637182
"286","Monterey","Mon","Ozone",0.355958430443587,36.495767,-121.731571
"287","Monterey","Tues","CO",0.00907778668805132,36.69676,-121.637182
"288","Monterey","Tues","NO2",0.0471440750213129,36.69676,-121.637182
"289","Monterey","Tues","Ozone",0.343705799151344,36.495767,-121.731571
"290","Monterey","Wed","CO",0.00925071715433161,36.69676,-121.637182
"291","Monterey","Wed","NO2",0.0480716723549488,36.69676,-121.637182
"292","Monterey","Wed","Ozone",0.335133269415149,36.495767,-121.731571
"293","Monterey","Thurs","CO",0.00905031810294968,36.69676,-121.637182
"294","Monterey","Thurs","NO2",0.0472058823529412,36.69676,-121.637182
"295","Monterey","Thurs","Ozone",0.334621442015903,36.495767,-121.731571
"296","Monterey","Fri","CO",0.00930618744313012,36.69676,-121.637182
"297","Monterey","Fri","NO2",0.0468504594820384,36.69676,-121.637182
"298","Monterey","Fri","Ozone",0.340639286658858,36.495767,-121.731571
"299","Monterey","Sat","CO",0.00934636118598383,36.69676,-121.637182
"300","Monterey","Sat","NO2",0.0416830065359477,36.69676,-121.637182
"301","Monterey","Sat","Ozone",0.35065071447324,36.495767,-121.731571
"302","Napa","Sun","CO",0.0107596751075012,38.310942,-122.296189
"303","Napa","Sun","NO2",0.0540358056265985,38.310942,-122.296189
"304","Napa","Sun","Ozone",0.324904443382704,38.310942,-122.296189
"305","Napa","Mon","CO",0.011421332046332,38.310942,-122.296189
"306","Napa","Mon","NO2",0.0709617346938776,38.310942,-122.296189
"307","Napa","Mon","Ozone",0.321736505252989,38.310942,-122.296189
"308","Napa","Tues","CO",0.0120799031476998,38.310942,-122.296189
"309","Napa","Tues","NO2",0.0791253175275191,38.310942,-122.296189
"310","Napa","Tues","Ozone",0.290759827420901,38.310942,-122.296189
"311","Napa","Wed","CO",0.0124288147967875,38.310942,-122.296189
"312","Napa","Wed","NO2",0.0781445887445887,38.310942,-122.296189
"313","Napa","Wed","Ozone",0.283737569730779,38.310942,-122.296189
"314","Napa","Thurs","CO",0.011933487073674,38.310942,-122.296189
"315","Napa","Thurs","NO2",0.0743789915966387,38.310942,-122.296189
"316","Napa","Thurs","Ozone",0.291344537815126,38.310942,-122.296189
"317","Napa","Fri","CO",0.01135755710735,38.310942,-122.296189
"318","Napa","Fri","NO2",0.070876339653751,38.310942,-122.296189
"319","Napa","Fri","Ozone",0.31718289954069,38.310942,-122.296189
"320","Napa","Sat","CO",0.0112035626391656,38.310942,-122.296189
"321","Napa","Sat","NO2",0.0648711554447215,38.310942,-122.296189
"322","Napa","Sat","Ozone",0.321457869448025,38.310942,-122.296189
"323","Orange","Sun","CO",0.0106247877758913,33.83062,-117.93845
"324","Orange","Sun","NO2",0.11689025684568,33.83062,-117.93845
"325","Orange","Sun","Ozone",0.450770014381592,33.83062,-117.93845
"326","Orange","Sun","SO2",0.00114854771784232,33.67464,-117.92568
"327","Orange","Mon","CO",0.0109459131700218,33.83062,-117.93845
"328","Orange","Mon","NO2",0.146748934356351,33.83062,-117.93845
"329","Orange","Mon","Ozone",0.421948872180451,33.83062,-117.93845
"330","Orange","Mon","SO2",0.00124874791318865,33.67464,-117.92568
"331","Orange","Tues","CO",0.0122395442962075,33.83062,-117.93845
"332","Orange","Tues","NO2",0.171616192560175,33.83062,-117.93845
"333","Orange","Tues","Ozone",0.400834656949765,33.83062,-117.93845
"334","Orange","Tues","SO2",0.00160389796503296,33.67464,-117.92568
"335","Orange","Wed","CO",0.0127459845627357,33.83062,-117.93845
"336","Orange","Wed","NO2",0.182248165443629,33.83062,-117.93845
"337","Orange","Wed","Ozone",0.393597447652088,33.83062,-117.93845
"338","Orange","Wed","SO2",0.00174556040756914,33.67464,-117.92568
"339","Orange","Thurs","CO",0.0129699054170249,33.83062,-117.93845
"340","Orange","Thurs","NO2",0.185842081949059,33.83062,-117.93845
"341","Orange","Thurs","Ozone",0.397278911564626,33.83062,-117.93845
"342","Orange","Thurs","SO2",0.00194188034188034,33.67464,-117.92568
"343","Orange","Fri","CO",0.012281543982155,33.83062,-117.93845
"344","Orange","Fri","NO2",0.167079560155239,33.83062,-117.93845
"345","Orange","Fri","Ozone",0.425813743218806,33.83062,-117.93845
"346","Orange","Fri","SO2",0.00151546391752577,33.67464,-117.92568
"347","Orange","Sat","CO",0.0115225061987412,33.83062,-117.93845
"348","Orange","Sat","NO2",0.144123747913189,33.83062,-117.93845
"349","Orange","Sat","Ozone",0.432157676348548,33.83062,-117.93845
"350","Orange","Sat","SO2",0.00140408163265306,33.67464,-117.92568
"351","Riverside","Sun","CO",0.006810701626062,33.85275,-116.54101
"352","Riverside","Sun","NO2",0.065686572793563,33.447867,-117.088649
"353","Riverside","Sun","Ozone",0.529434366739638,33.7411,-115.8206
"354","Riverside","Sun","SO2",0.00252133223231489,33.99958,-117.41601
"355","Riverside","Mon","CO",0.00610568188166937,33.85275,-116.54101
"356","Riverside","Mon","NO2",0.0732617407639324,33.447867,-117.088649
"357","Riverside","Mon","Ozone",0.525048366391234,33.7411,-115.8206
"358","Riverside","Mon","SO2",0.00253546397532941,33.99958,-117.41601
"359","Riverside","Tues","CO",0.00691515799202819,33.85275,-116.54101
"360","Riverside","Tues","NO2",0.0900014186226464,33.447867,-117.088649
"361","Riverside","Tues","Ozone",0.516503458068062,33.7411,-115.8206
"362","Riverside","Tues","SO2",0.00305073649754501,33.99958,-117.41601
"363","Riverside","Wed","CO",0.00735299287939475,33.85275,-116.54101
"364","Riverside","Wed","NO2",0.0943206692665744,33.447867,-117.088649
"365","Riverside","Wed","Ozone",0.513957776929925,33.7411,-115.8206
"366","Riverside","Wed","SO2",0.00342207432057682,33.99958,-117.41601
"367","Riverside","Thurs","CO",0.00740260593512767,33.85275,-116.54101
"368","Riverside","Thurs","NO2",0.0952346810647916,33.447867,-117.088649
"369","Riverside","Thurs","Ozone",0.52364406625575,33.7411,-115.8206
"370","Riverside","Thurs","SO2",0.00336070060207991,33.99958,-117.41601
"371","Riverside","Fri","CO",0.00769139033051079,33.85275,-116.54101
"372","Riverside","Fri","NO2",0.0936759384615385,33.447867,-117.088649
"373","Riverside","Fri","Ozone",0.525030143348368,33.7411,-115.8206
"374","Riverside","Fri","SO2",0.00364935064935065,33.99958,-117.41601
"375","Riverside","Sat","CO",0.00776789757929654,33.85275,-116.54101
"376","Riverside","Sat","NO2",0.0805923161629757,33.447867,-117.088649
