County,Hour,Season,Pollutant,Sample,Latitude,Longitude
Contra Costa,0,2,CO,0.007026455,37.936013,-122.026154
Contra Costa,0,2,NO2,0.039005525,37.936013,-122.026154
Contra Costa,0,2,Ozone,0.376216858,37.936013,-122.026154
Contra Costa,0,2,SO2,0.014170657,37.936013,-122.026154
Contra Costa,0,3,CO,0.00699793,37.936013,-122.026154
Contra Costa,0,3,NO2,0.041380822,37.936013,-122.026154
Contra Costa,0,3,Ozone,0.282958075,37.936013,-122.026154
Contra Costa,0,3,SO2,0.013174721,37.936013,-122.026154
Contra Costa,0,4,CO,0.010217391,37.936013,-122.026154
Contra Costa,0,4,NO2,0.087545994,37.936013,-122.026154
Contra Costa,0,4,Ozone,0.193768546,37.936013,-122.026154
Contra Costa,0,4,SO2,0.013359903,37.936013,-122.026154
Contra Costa,1,1,CO,0.01099631,37.936013,-122.026154
Contra Costa,1,1,NO2,0.072269373,37.936013,-122.026154
Contra Costa,1,1,Ozone,0.245387454,37.936013,-122.026154
Contra Costa,1,1,SO2,0.010907305,37.936013,-122.026154
Contra Costa,1,2,CO,0.006861391,37.936013,-122.026154
Contra Costa,1,2,NO2,0.03800554,37.936013,-122.026154
Contra Costa,1,2,Ozone,0.36468254,37.936013,-122.026154
Contra Costa,1,2,SO2,0.01401722,37.936013,-122.026154
Contra Costa,1,3,CO,0.006811594,37.936013,-122.026154
Contra Costa,1,3,NO2,0.040084932,37.936013,-122.026154
Contra Costa,1,3,Ozone,0.274184783,37.936013,-122.026154
Contra Costa,1,3,SO2,0.013380421,37.936013,-122.026154
Contra Costa,1,4,CO,0.01,37.936013,-122.026154
Contra Costa,1,4,NO2,0.082074184,37.936013,-122.026154
Contra Costa,1,4,Ozone,0.19147944,37.936013,-122.026154
Contra Costa,1,4,SO2,0.013006655,37.936013,-122.026154
Contra Costa,2,1,CO,0.010621118,37.936013,-122.026154
Contra Costa,2,1,NO2,0.069469565,37.936013,-122.026154
Contra Costa,2,1,Ozone,0.236459627,37.936013,-122.026154
Contra Costa,2,1,SO2,0.010843478,37.936013,-122.026154
Contra Costa,2,2,CO,0.006654298,37.936013,-122.026154
Contra Costa,2,2,NO2,0.037205788,37.936013,-122.026154
Contra Costa,2,2,Ozone,0.363686636,37.936013,-122.026154
Contra Costa,2,2,SO2,0.014409156,37.936013,-122.026154
Contra Costa,2,3,CO,0.006715507,37.936013,-122.026154
Contra Costa,2,3,NO2,0.039506452,37.936013,-122.026154
Contra Costa,2,3,Ozone,0.26717033,37.936013,-122.026154
Contra Costa,2,3,SO2,0.013435449,37.936013,-122.026154
Contra Costa,2,4,CO,0.009408249,37.936013,-122.026154
Contra Costa,2,4,NO2,0.077989691,37.936013,-122.026154
Contra Costa,2,4,Ozone,0.186745214,37.936013,-122.026154
Contra Costa,2,4,SO2,0.012929123,37.936013,-122.026154
Contra Costa,3,1,CO,0.01075188,37.936013,-122.026154
Contra Costa,3,1,NO2,0.059657895,37.936013,-122.026154
Contra Costa,3,1,Ozone,0.269548872,37.936013,-122.026154
Contra Costa,3,1,SO2,0.015145299,37.948172,-122.364852
Contra Costa,3,2,CO,0.0075,37.936013,-122.026154
Contra Costa,3,2,NO2,0.037807692,37.936013,-122.026154
Contra Costa,3,2,Ozone,0.321978022,37.936013,-122.026154
Contra Costa,3,2,SO2,0.014894309,37.948172,-122.364852
Contra Costa,3,3,CO,0.007428571,37.936013,-122.026154
Contra Costa,3,3,NO2,0.037576923,37.936013,-122.026154
Contra Costa,3,3,Ozone,0.255525606,37.936013,-122.026154
Contra Costa,3,3,SO2,0.016842105,37.948172,-122.364852
Contra Costa,3,4,CO,0.009966777,37.936013,-122.026154
Contra Costa,3,4,NO2,0.067576923,37.936013,-122.026154
Contra Costa,3,4,Ozone,0.220879121,37.936013,-122.026154
Contra Costa,3,4,SO2,0.018548148,37.948172,-122.364852
Contra Costa,4,1,CO,0.010698174,37.936013,-122.026154
Contra Costa,4,1,NO2,0.076868914,37.936013,-122.026154
Contra Costa,4,1,Ozone,0.219475655,37.936013,-122.026154
