,County,Pollutant,Dayofweek,Hour,Sample
580,Alameda,SO2,Wed,11,0.018585034
581,Alameda,SO2,Wed,12,0.017877551
582,Alameda,SO2,Wed,13,0.020136054
583,Alameda,SO2,Wed,14,0.01744
584,Alameda,SO2,Wed,15,0.016339869
585,Alameda,SO2,Wed,16,0.018186667
586,Alameda,SO2,Wed,17,0.021733333
587,Alameda,SO2,Wed,18,0.0184
588,Alameda,SO2,Wed,19,0.011253333
589,Alameda,SO2,Wed,20,0.010122449
590,Alameda,SO2,Wed,21,0.009959184
591,Alameda,SO2,Wed,22,0.010068027
592,Alameda,SO2,Wed,23,0.012217687
593,Alameda,SO2,Thu,0,0.011020408
594,Alameda,SO2,Thu,1,0.009741497
595,Alameda,SO2,Thu,2,0.009277778
596,Alameda,SO2,Thu,4,0.010666667
597,Alameda,SO2,Thu,5,0.01152
598,Alameda,SO2,Thu,6,0.01216
599,Alameda,SO2,Thu,7,0.01375
600,Alameda,SO2,Thu,8,0.016170213
601,Alameda,SO2,Thu,9,0.019537415
602,Alameda,SO2,Thu,10,0.01755102
603,Alameda,SO2,Thu,11,0.014933333
604,Alameda,SO2,Thu,12,0.0152
